,coef_,complexity_,l1_norm_,model,model_structure_,mse_,ridge_alpha,str_
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.46660481 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",1.0,1.4666048143165975,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False]",0.04521094343369104,0.0, + 1.4666*i12**(-0.5)*vb4
1,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.03634426e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.74061787e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",2.0,574062.823279637,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False]",0.009154472271285631,0.0, + 1.03634*i12**(-0.5)*vb4 + 574061.78694*i15*i8**(-0.5)*vb2
2,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.11948748e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.69968927e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.30615211e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",3.0,630663.0195292084,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False False False False
 False False False  True False False False  True False False False False
 False False False]",0.0064010397597249365,0.0, + 0.81195*i12**(-0.5)*vb4 + 46.99689*i15*i2**(-0.5)*vb2 + 630615.21069*i15*i8**(-0.5)*vb2
3,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.87023920e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.09031694e+10 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.89235261e+05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",3.0,50903758614.16874,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False  True False False
 False False False False False False False  True False False False False
 False False False]",0.005480121951789075,0.0, + 0.88702*i12**(-0.5)*vb4 + 50903169378.02108*i15**3*vb2 + 589235.26064*i15*i8**(-0.5)*vb2
4,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  9.25792816e-01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.65506269e+10  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.77329865e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.72560661e+05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]",4.0,66551199460.58685,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False  True False False
 False False False  True False False False  True False False False False
 False False False]",0.005373625924112943,0.0, + 0.92579*i12**(-0.5)*vb4 + 66550626881.2675*i15**3*vb2 + -17.73299*i15*i2**(-0.5)*vb2 + 572560.66057*i15*i8**(-0.5)*vb2
5,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  8.87023920e-01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.09031694e+10  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.82790057e+05  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.89235261e+05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]",4.0,50903941404.22543,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False  True False False
 False False  True False False False False  True False False False False
 False False False]",0.0037349310948523147,0.0, + 0.88702*i12**(-0.5)*vb4 + 50903169378.02117*i15**3*vb2 + -182790.05661*i15**2.5*vb1 + 589235.26063*i15*i8**(-0.5)*vb2
6,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  9.25792910e-01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.65506139e+10  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.82790057e+05 -1.77329865e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.72560661e+05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]",5.0,66551369295.54989,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False False False  True False False
 False False  True  True False False False  True False False False False
 False False False]",0.0036284351659726516,0.0, + 0.92579*i12**(-0.5)*vb4 + 66550613926.17394*i15**3*vb2 + -182790.0566*i15**2.5*vb1 + -17.73299*i15*i2**(-0.5)*vb2 + 572560.66056*i15*i8**(-0.5)*vb2
7,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.59696760e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.56346531e-15
  0.00000000e+00  4.84614321e-12  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.23169843e-25  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.43761582e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]",5.0,1.5969690396494285,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False False False False False False  True False  True False False
 False False  True False False False False  True False False False False
 False False False]",0.01977324985648431,0.0, + 1.59697*i12**(-0.5)*vb4
8,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.03951682e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.17560674e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.08468509e+11  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.20563652e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.14914975e+05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]",5.0,108468924234.13853,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False False  True False False False False False False  True False False
 False False False  True False False False  True False False False False
 False False False]",0.00492623799357529,0.0, + 1.03952*i12**(-0.5)*vb4 + 117.56067*i15**0.5*vb2 + 108468509138.50719*i15**3*vb2 + -62.05637*i15*i2**(-0.5)*vb2 + 414914.9748*i15*i8**(-0.5)*vb2
9,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -6.25252914e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.83010430e+09  1.28808722e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.64739927e+10  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.45584869e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.04969133e+06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00]",6.0,43305146800.25043,LinearRegression(fit_intercept=False),"[False False False False False False False False False False False False
 False False False False False False False False False  True False False
 False  True  True False False False False False False  True False False
 False False False  True False False False  True False False False False
 False False False]",0.0028868011410102252,0.0, + -0.06253*i12**(-0.5)*vb4 + 6830104302.36268*i15**2*vb2/i8 + 128.80872*i15**0.5*vb2 + 36473992668.23282*i15**3*vb2 + 9.45585*i15*i2**(-0.5)*vb2 + 1049691.32783*i15*i8**(-0.5)*vb2
